Episode,Epsilon,Reward,Reward cumulee,Episode Duration,Loss,True Value,Estimate Value,TD Error
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,-0.5978402,0.28715765,-0.88499784
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,-0.7560026,0.1056038,-0.8616064
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,0.03152785,0.20145874,-0.16993089
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,0.25633928,1.0031826,-0.74684334
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,-0.37177172,-0.2109529,-0.16081883
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,-0.3942605,0.4922892,-0.8865497
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,-0.63682246,0.34881747,-0.9856399
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,0.8061632,1.5113494,-0.70518625
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,0.45319316,1.7643696,-1.3111764
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,0.20168348,0.48174033,-0.28005683
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,-0.57699645,0.5804504,-1.1574469
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,-0.37776405,0.6760465,-1.0538106
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,-0.45595163,0.7350539,-1.1910055
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,0.8488601,1.5986208,-0.7497607
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,-0.78196305,-0.7436843,-0.03827876
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,0.24247698,1.2541647,-1.0116878
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,1.0427241,0.76581955,0.27690458
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,-0.7822567,0.0047877133,-0.7870444
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,-0.61887926,0.1446632,-0.7635425
1,0.9,-10,-10,0.028257369995117188,0.5500780344009399,0.6558051,1.0155717,-0.3597666
