Episode,Epsilon,Touches Session,Touches Globales,Reward,TD Error,True Value,Estimate Value,Loss
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,0,0,0,0.0,0.0,0.0,0.0
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.49,1.49,0.0,1.11005
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.49,1.49,0.0,1.11005
0,0.9,1,1,1,0.30000000000000004,1.0,0.7,0.04500000000000001
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.49,1.49,0.0,1.11005
0,0.9,1,1,1,0.30000000000000004,1.0,0.7,0.04500000000000001
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,0.30000000000000004,1.0,0.7,0.04500000000000001
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.49,1.49,0.0,1.11005
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.49,1.49,0.0,1.11005
0,0.9,1,1,1,-0.04299999999999993,1.0,1.043,0.0009244999999999968
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,0.30000000000000004,1.0,0.7,0.04500000000000001
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
0,0.9,1,1,1,1.0,1.0,0.0,0.5
